MD(ft);TVD(ft);DTEMP(F)
81.5;58.0930423157886;77.3354
82;58.6640464621074;77.3354
82.5;59.2349787871228;77.3354
83;59.8058393277093;77.3354
83.5;60.3766281207319;77.3307
84;60.9473452030459;77.3312
84.5;61.5179906114967;77.3177
85;62.0885643829204;77.3085
85.5;62.6590665541434;77.3029
86;63.2294971619821;77.3001
86.5;63.7998562432439;77.3017
87;64.3701438347259;77.2961
87.5;64.9403599732159;77.2849
88;65.5105046954922;77.284
88.5;66.0805780383231;77.283
89;66.6505800384675;77.2771
89.5;67.2205107326745;77.2675
90;67.7903701576838;77.252
90.5;68.3601583502253;77.2445
91;68.9298753470193;77.2348
91.5;69.4995211847764;77.2324
92;70.0690959001978;77.2252
92.5;70.6385995299747;77.2022
93;71.208032110789;77.1972
93.5;71.7773936793128;77.1761
94;72.3466842722087;77.1764
94.5;72.9159039261295;77.1646
95;73.4850526777186;77.1508
95.5;74.0541305636094;77.135
96;74.6231376204262;77.1214
96.5;75.1920738847833;77.1102
97;75.7609393932854;77.1043
97.5;76.3297341825278;77.1026
98;76.8984582890959;77.1033
98.5;77.4671117495656;77.1033
99;78.0356946005034;77.1099
99.5;78.6042068784658;77.1161
100;79.17264862;77.1413
100.5;79.7410198616434;77.1748
101;80.3093206399238;77.2084
101.5;80.8775509913595;77.2715
102;81.4457109524591;77.3085
102.5;82.0138005597216;77.3536
103;82.5818198496363;77.3776
103.5;83.1497688586832;77.4146
104;83.7176476233324;77.4276
104.5;84.2854561800444;77.4743
105;84.8531945652702;77.5035
105.5;85.4208628154512;77.5405
106;85.9884609670192;77.5769
106.5;86.5559890563963;77.5983
107;87.123447119995;77.6413
107.5;87.6908351942184;77.677
108;88.2581533154597;77.7069
108.5;88.8254015201028;77.7482
109;89.3925798445218;77.7832
109.5;89.9596883250813;77.8117
110;90.5267269981362;77.8546
110.5;91.0936959000319;77.8798
111;91.6605950671042;77.9068
111.5;92.2274245356793;77.9401
112;92.7941843420738;77.9821
112.5;93.3608745225946;78.02
113;93.9274951135392;78.0505
113.5;94.4940461511955;78.0968
114;95.0605276718416;78.1198
114.5;95.6269397117462;78.1628
115;96.1932823071683;78.1967
115.5;96.7595554943575;78.229
116;97.3257593095537;78.2673
116.5;97.8918937889871;78.3061
117;98.4579589688785;78.3465
117.5;99.023954885439;78.3988
118;99.5898815748703;78.4517
118.5;100.155739073364;78.4887
119;100.721527417103;78.53
119.5;101.28724664226;78.5618
120;101.852896784998;78.6044
120.5;102.418477881471;78.6345
121;102.983989967824;78.6812
121.5;103.549433080189;78.7138
122;104.114807254693;78.7627
122.5;104.680112527451;78.8027
123;105.245348934569;78.8479
123.5;105.810516512142;78.897
124;106.375615296259;78.9341
124.5;106.940645322995;78.9888
125;107.505606628418;79.0274
125.5;108.070499248587;79.0743
126;108.635323219549;79.1179
126.5;109.200078577344;79.1633
127;109.764765358001;79.2062
127.5;110.329383597539;79.223
128;110.893933331969;79.2784
128.5;111.458414597292;79.3092
129;112.022827429498;79.3505
129.5;112.587171864569;79.3894
130;113.151447938477;79.4407
130.5;113.715655687184;79.4743
131;114.279795146643;79.5166
131.5;114.843866352798;79.5624
132;115.407869341581;79.6096
132.5;115.971804148918;79.6594
133;116.535670810723;79.7045
133.5;117.099469362901;79.7661
134;117.663199841347;79.8094
134.5;118.226862281948;79.8625
135;118.79045672058;79.8986
135.5;119.35398319311;79.9468
136;119.917441735394;79.9876
136.5;120.480832383282;80.0349
137;121.044155172611;80.0862
137.5;121.60741013921;80.1316
138;122.170597318897;80.1758
138.5;122.733716747484;80.2315
139;123.296768460769;80.2704
139.5;123.859752494544;80.3155
140;124.422668884589;80.3743
140.5;124.985517666676;80.4007
141;125.548298876566;80.4396
141.5;126.111012550013;80.4931
142;126.673658722759;80.5283
142.5;127.236237430537;80.5834
143;127.798748709072;80.6145
143.5;128.361192594077;80.6677
144;128.923569121258;80.6941
144.5;129.485878326309;80.7287
145;130.048120244916;80.7781
145.5;130.610294912755;80.8021
146;131.172402365494;80.8366
146.5;131.734442638789;80.8823
147;132.296415768287;80.9175
147.5;132.858321789628;80.9474
148;133.420160738439;80.9972
148.5;133.981932650339;81.0233
149;134.543637560939;81.0644
149.5;135.105275505837;81.1008
150;135.666846520625;81.1418
150.5;136.228350640883;81.1611
151;136.789787902184;81.2125
151.5;137.351158340088;81.2514
152;137.912461990148;81.2924
152.5;138.473698887908;81.3136
153;139.0348690689;81.3646
153.5;139.595972568649;81.3926
154;140.157009422668;81.4402
154.5;140.717979666463;81.471
155;141.27888333553;81.4959
155.5;141.839720465353;81.5389
156;142.40049109141;81.5759
156.5;142.961195249167;81.5967
157;143.521832974082;81.6444
157.5;144.082404301601;81.6935
158;144.642909267165;81.7402
158.5;145.203347906201;81.7642
159;145.763720254129;81.8086
159.5;146.324026346359;81.8451
160;146.884266218291;81.8899
160.5;147.444439905316;81.9319
161;148.004547442815;81.9642
161.5;148.564588866161;82.0081
162;149.124564210715;82.0467
162.5;149.68447351183;82.0996
163;150.244316804851;82.1444
163.5;150.80409412511;82.1812
164;151.363805507932;82.2145
164.5;151.923450988632;82.2537
165;152.483030602516;82.3031
165.5;153.042544384879;82.3461
166;153.601992371007;82.3922
166.5;154.161374596179;82.4391
167;154.720691095661;82.4883
167.5;155.279941904711;82.5347
168;155.839127058578;82.5807
168.5;156.398246592501;82.6271
169;156.95730054171;82.6747
169.5;157.516288941423;82.7286
170;158.075211826853;82.7672
170.5;158.634069233201;82.8129
171;159.192861195657;82.859
171.5;159.751587749404;82.9057
172;160.310248929615;82.9455
172.5;160.868844771453;82.985
173;161.427375310072;83.0358
173.5;161.985840580615;83.101
174;162.544240618219;83.1568
174.5;163.102575458008;83.205
175;163.660845135098;83.2577
175.5;164.219049684595;83.3081
176;164.777189141597;83.359
176.5;165.335263541191;83.4055
177;165.893272918454;83.4557
177.5;166.451217308456;83.5023
178;167.009096746256;83.5513
178.5;167.566911266903;83.5964
179;168.124660905437;83.6506
179.5;168.68234569689;83.7059
180;169.239965676282;83.7506
180.5;169.797520878624;83.7887
181;170.355011338921;83.8517
181.5;170.912437092164;83.8992
182;171.469798173336;83.9419
182.5;172.027094617412;83.9851
183;172.584326459357;84.0356
183.5;173.141493734125;84.0767
184;173.698596476661;84.1207
184.5;174.255634721903;84.1673
185;174.812608504777;84.2038
185.5;175.3695178602;84.2507
186;175.92636282308;84.3169
186.5;176.483143428316;84.3631
187;177.039859710795;84.4101
187.5;177.596511705399;84.4624
188;178.153099446996;84.5247
188.5;178.709622970448;84.5871
189;179.266082310605;84.6408
189.5;179.822477502309;84.7007
190;180.378808580394;84.7597
190.5;180.935075579681;84.8068
191;181.491278534983;84.8556
191.5;182.047417481106;84.9012
192;182.603492452843;84.9436
192.5;183.15950348498;84.9997
193;183.715450612292;85.0371
193.5;184.271333869545;85.0753
194;184.827153291497;85.1375
194.5;185.382908912894;85.1825
195;185.938600768475;85.247
195.5;186.494228892969;85.288
196;187.049793321093;85.3484
196.5;187.605294087559;85.3996
197;188.160731227066;85.458
197.5;188.716104774305;85.4993
198;189.271414763957;85.5568
198.5;189.826661230695;85.6056
199;190.381844209181;85.6507
199.5;190.936963734068;85.6998
200;191.49201984;85.7367
200.5;192.047012561611;85.7684
201;192.601941933527;85.821
201.5;193.156807990361;85.8454
202;193.711610766722;85.9003
202.5;194.266350297205;85.9425
203;194.821026616397;85.9896
203.5;195.375639758877;86.0381
204;195.930189759212;86.0951
204.5;196.484676651963;86.1398
205;197.039100471677;86.2061
205.5;197.593461252896;86.2538
206;198.147759030151;86.2974
206.5;198.701993837962;86.3479
207;199.256165710841;86.3886
207.5;199.810274683292;86.42
208;200.364320789807;86.4566
208.5;200.918304064871;86.5154
209;201.472224542957;86.5483
209.5;202.02608225853;86.5999
210;202.579877246046;86.6427
210.5;203.133609539952;86.6857
211;203.687279174683;86.7418
211.5;204.240886184667;86.8006
