Well	MD[ft]	MD[m]	Plagioclase[%]	Kfeldspar[%]	Quartz[%]	Others[%]	RockType(plutonicrocks/IUGSClass)
52-21	230	70.1	41	32	14	13	Sediment w/ lots of glassy rhyolite clasts
52-21	500	152.4	34	18	38	10	Sediments
52-21	700	213.4	44	15	14	28	Quartz monzodiorite
52-21	1000	304.8	49	13	11	28	Quartz monzodiorite
52-21	1230	374.9	46	14	11	29	Quartz monzodiorite
52-21	1490	454.2	20	18	43	19	Granite
52-21	1790	545.6	23	17	41	19	Granite
52-21	2000	609.6	33	10	46	12	Granodiorite
52-21	2240	682.8	17	12	47	25	Quartz-rich granitoids
52-21	2490	759	34	9	45	13	Granodiorite
52-21	2690	819.9	32	16	43	9	Granodiorite
52-21	2990	911.4	44	13	35	8	Granodiorite
52-21	3250	990.6	51	9	32	9	Granodiorite
52-21	3500	1066.8	48	7	37	8	Granodiorite
52-21	3730	1136.9	52	6	33	10	Granodiorite
52-21	3990	1216.2	49	12	34	5	Granodiorite
52-21	4240	1292.4	52	7	28	13	Granodiorite
52-21	4520	1377.7	51	12	22	15	Granodiorite
52-21	4790	1460	48	4	9	40	Quartz diorite
52-21	4990	1521	46	23	21	10	Granodiorite
52-21	5290	1612.4	44	13	39	4	Granodiorite
52-21	5490	1673.4	44	6	34	17	Granodiorite
52-21	5710	1740.4	53	7	15	25	Quartz monzodiorite
52-21	5910	1801.4	36	29	29	6	Granite
52-21	6210	1892.8	47	16	21	16	Granodiorite
52-21	6540	1993.4	40	22	26	11	Granite
52-21	6740	2054.4	43	21	23	13	Granodiorite
52-21	6980	2127.5	39	16	31	14	Granodiorite
52-21	7260	2212.8	50	15	16	19	Quartz monzodiorite
52-21	7490	2283	35	7	42	17	Granodiorite
9-1	760	231.6	50	27	4	20	mozodiorite
9-1	1010	307.8	32	33	28	6	granite
9-1	1240	378	26	32	23	18	granite
9-1	1480	451.1	43	34	5	18	quartz monzonite
9-1	1750	533.4	46	11	6	37	quartz monzodiorite
9-1	2020	615.7	39	41	12	9	quartz monzonite
9-1	2250	685.8	42	15	10	33	quartz monzodiorite
9-1	2500	762	45	29	9	17	quartz monzonite
9-1	2750	838.2	42	24	14	21	quartz monzonite
9-1	3000	914.4	48	21	5	26	quartz monzodiorite
9-1	3250	990.6	46	25	4	25	quartz monzonite
9-1	3450	1051.6	52	17	8	23	quartz monzodiorite
9-1	3700	1127.8	47	41	4	8	monzonite
9-1	4010	1222.2	46	42	4	8	monzonite
9-1	4200	1280.2	51	29	2	18	monzonite
9-1	4500	1371.6	58	23	3	17	monzodiorite
9-1	4700	1432.6	55	22	2	20	monzodiorite
9-1	5000	1524	47	35	2	17	monzonite
9-1	5240	1597.2	46	32	2	19	monzonite
9-1	5500	1676.4	45	38	3	13	monzonite
9-1	5780	1761.7	46	37	3	13	monzonite
9-1	6000	1828.8	53	24	2	21	monzodiorite
9-1	6200	1889.8	55	11	1	33	monzodiorite
9-1	6500	1981.2	50	12	1	37	monzodiorite
9-1	6790	2069.6	40	14	3	44	monzodiorite
14-2	590	179.8	42	48	5	6	Monzonite
14-2	740	225.6	40	46	8	6	Quartz Monzonite
14-2	1010	307.8	32	33	22	14	Granite
14-2	1240	378	34	54	7	5	Quartz Monzonite
14-2	1520	463.3	42	43	7	8	Quartz Monzonite
14-2	1720	524.3	7	36	44	13	Granite
14-2	1995	608.1	21	34	38	7	Granite
14-2	2240	682.8	40	29	19	12	Granite
14-2	2495	760.5	51	30	9	11	Quartz Monzonite
14-2	2755	839.7	48	16	14	22	Quartz Monzodiorite
14-2	2955	900.7	57	20	9	14	Quartz Monzodiorite
14-2	3245	989.1	49	35	6	11	Quartz Monzonite
14-2	3495	1065.3	37	43	9	10	Quartz Monzonite
14-2	3745	1141.5	49	38	4	9	Monzonite
14-2	3995	1217.7	50	30	9	11	Quartz Monzonite
14-2	4245	1293.9	39	45	7	10	Quartz Monzonite
14-2	4495	1370.1	39	48	5	8	Quartz Monzonite
14-2	4745	1446.3	46	42	5	8	Monzonite
14-2	4995	1522.5	38	29	14	19	Quartz Monzonite
14-2	5245	1598.7	54	23	5	19	Quartz Monzodiorite
14-2	5495	1674.9	46	40	6	8	Quartz Monzonite
14-2	5740	1749.6	45	39	8	8	Quartz Monzonite
14-2	5995	1827.3	42	18	14	26	Quartz Monzodiorite
58-32	100	30.5	40	44	17	0	Alluvium
58-32	200	61	42	33	20	5	Alluvium
58-32	300	91.4	39	34	26	2	Alluvium
58-32	400	121.9	35	39	20	6	Alluvium
58-32	500	152.4	35	39	21	5	Alluvium
58-32	600	182.9	35	49	16	1	Alluvium
58-32	700	213.4	36	43	20	0	Alluvium
58-32	800	243.8	38	43	18	1	Alluvium
58-32	900	274.3	31	41	28	0	Alluvium
58-32	1000	304.8	37	34	24	5	Alluvium
58-32	1100	335.3	40	36	24	1	Alluvium
58-32	1200	365.8	36	39	25	0	Alluvium
58-32	1300	396.2	37	37	25	1	Alluvium
58-32	1400	426.7	38	35	26	1	Alluvium
58-32	1500	457.2	34	38	27	1	Alluvium
58-32	1600	487.7	35	38	26	1	Alluvium
58-32	1700	518.2	33	38	28	1	Alluvium
58-32	1800	548.6	36	35	25	5	Alluvium
58-32	1900	579.1	34	41	20	5	Alluvium
58-32	2000	609.6	34	40	21	5	Alluvium
58-32	2100	640.1	37	33	22	8	Alluvium
58-32	2200	670.6	35	34	25	6	Alluvium
58-32	2300	701	35	36	24	5	Alluvium
58-32	2400	731.5	42	37	15	7	Alluvium
58-32	2500	762	35	34	26	6	Alluvium
58-32	2600	792.5	38	37	19	6	Alluvium
58-32	2700	823	38	40	18	5	Alluvium
58-32	2800	853.4	36	38	20	6	Alluvium
58-32	2900	883.9	38	37	19	6	Alluvium
58-32	3000	914.4	37	37	20	6	Alluvium
58-32	3100	944.9	38	39	18	5	Alluvium
58-32	3170	966.2	19	41	34	5	Rhyolite Sill
58-32	3180	969.3	15	42	38	5	Rhyolite Sill
58-32	3190	972.3	28	47	11	15	Quartz Monzonite
58-32	3200	975.4	40	39	9	12	Quartz Monzonite
58-32	3300	1005.8	39	44	6	12	Quartz Monzonite
58-32	3330	1015	43	32	2	22	Monzonite
58-32	3400	1036.3	43	48	3	6	Monzonite
58-32	3500	1066.8	49	18	3	30	Monzodiorite
58-32	3600	1097.3	55	12	2	31	Monzodiorite
58-32	3700	1127.8	45	18	4	33	Quartz Monzonite
58-32	3800	1158.2	54	13	2	31	Monzodiorite
58-32	3900	1188.7	51	8	2	39	Monzodiorite
58-32	4000	1219.2	53	9	1	37	Monzodiorite
58-32	4100	1249.7	46	27	4	23	Quartz Monzonite
58-32	4200	1280.2	54	11	3	32	Monzodiorite
58-32	4300	1310.6	50	41	2	7	Monzonite
58-32	4400	1341.1	44	36	3	17	Monzonite
58-32	4500	1371.6	48	40	2	10	Monzonite
58-32	4600	1402.1	47	38	5	10	Quartz Monzonite
58-32	4700	1432.6	49	35	7	9	Quartz Monzonite
58-32	4800	1463	51	30	4	16	Monzonite
58-32	4900	1493.5	51	42	2	5	Monzonite
58-32	5000	1524	51	42	1	5	Monzonite
58-32	5100	1554.5	54	39	3	4	Monzonite
58-32	5200	1585	39	34	24	4	Granite
58-32	5300	1615.4	50	41	5	4	Quartz Monzonite
58-32	5400	1645.9	34	33	27	6	Granite
58-32	5500	1676.4	35	28	35	2	Granite
58-32	5600	1706.9	39	32	19	10	Granite
58-32	5700	1737.4	36	25	35	4	Granite
58-32	5800	1767.8	35	29	34	3	Granite
58-32	5900	1798.3	39	30	29	3	Granite
58-32	6000	1828.8	59	27	8	6	Quartz Monzodiorite
58-32	6100	1859.3	50	42	3	5	Monzonite
58-32	6200	1889.8	53	37	9	1	Quartz Monzonite
58-32	6300	1920.2	38	33	25	5	Granite
58-32	6400	1950.7	41	28	24	7	Granite
58-32	6500	1981.2	40	33	22	5	Granite
58-32	6600	2011.7	41	38	17	4	Quartz Monzonite
58-32	6700	2042.2	69	15	13	3	Quartz Monzodiorite
58-32	6900	2103.1	44	29	21	6	Granite
58-32	7000	2133.6	48	26	17	8	Quartz Monzonite
58-32	7100	2164.1	47	34	14	6	Quartz Monzonite
58-32	7200	2194.6	44	31	19	6	Granite
58-32	7300	2225	40	32	21	7	Granite
58-32	7400	2255.5	50	26	16	8	Quartz Monzodiorite
58-32	7500	2286	47	28	21	4	Granite
Accord(1-26)	70	21.3	17	11	28	45	Mixed sediments
Accord(1-26)	320	97.5	7	7	32	54	Lacustrine/evaporite deposits
Accord(1-26)	590	179.8	7	11	15	67	Lacustrine/evaporite deposits
Accord(1-26)	830	253	6	9	10	75	Lacustrine/evaporite deposits
Accord(1-26)	1070	326.1	9	10	15	66	Lacustrine/evaporite deposits
Accord(1-26)	1340	408.4	6	13	13	69	Lacustrine/evaporite deposits
Accord(1-26)	1580	481.6	6	13	13	69	Lacustrine/evaporite deposits
Accord(1-26)	1820	554.7	4	12	9	74	Lacustrine/evaporite deposits
Accord(1-26)	2090	637	16	18	27	39	Lacustrine/evaporite deposits
Accord(1-26)	2330	710.2	22	17	35	27	Lacustrine/evaporite deposits
Accord(1-26)	2600	792.5	17	20	25	38	Lacustrine/evaporite deposits
Accord(1-26)	2840	865.6	11	21	35	33	Lacustrine/evaporite deposits
Accord(1-26)	3080	938.8	10	19	29	42	Lacustrine/evaporite deposits
Accord(1-26)	3320	1011.9	7	17	16	60	Lacustrine/evaporite deposits
Accord(1-26)	3590	1094.2	26	21	31	22	Lacustrine/evaporite deposits
Accord(1-26)	3840	1170.4	11	21	17	52	Lacustrine/evaporite deposits
Accord(1-26)	3990	1216.2	14	21	23	42	Lacustrine/evaporite deposits
Accord(1-26)	4240	1292.4	14	21	15	49	Lacustrine/evaporite deposits
Accord(1-26)	4380	1335	32	25	31	12	volcaniclastic gravel > Slst and Ss
Accord(1-26)	4640	1414.3	27	31	28	14	volcaniclastic gravel > Slst and Ss
Accord(1-26)	4840	1475.2	31	28	27	13	volcaniclastic gravel > Slst and Ss
Accord(1-26)	5040	1536.2	28	30	30	13	volcaniclastic gravel > Slst and Ss
Accord(1-26)	5240	1597.2	27	34	26	14	volcaniclastic gravel > Slst and Ss
Accord(1-26)	5440	1658.1	20	28	24	28	volcaniclastic gravel > Slst and Ss
Accord(1-26)	5640	1719.1	21	26	25	28	Rhyolite ash-flow tuff and tuffaceous sediments.
Accord(1-26)	5840	1780	21	30	32	18	Rhyolite ash-flow tuff and tuffaceous sediments.
Accord(1-26)	6040	1841	16	39	28	17	Rhyolite ash-flow tuff and tuffaceous sediments.
Accord(1-26)	6240	1902	18	29	26	27	Rhyolite ash-flow tuff and tuffaceous sediments.
Accord(1-26)	6440	1962.9	22	26	37	16	Rhyolite ash-flow tuff and tuffaceous sediments.
Accord(1-26)	6640	2023.9	25	25	33	17	Rhyolite ash-flow tuff and tuffaceous sediments.
Accord(1-26)	6840	2084.8	24	26	34	16	Rhyolite ash-flow tuff and tuffaceous sediments.
Accord(1-26)	6990	2130.6	26	31	29	14	Rhyolite ash-flow tuff and tuffaceous sediments.
Accord(1-26)	7220	2200.7	46	31	10	13	Andesite lava flow
Accord(1-26)	7540	2298.2	50	27	15	8	Andesite lava flow
Accord(1-26)	7740	2359.2	30	35	28	8	Rhyolite ash-flow tuff
Accord(1-26)	7990	2435.4	41	9	12	37	Andesite lava flow
Accord(1-26)	8240	2511.6	36	10	23	31	Volcaniclastic sandstone
Accord(1-26)	8340	2542	25	8	27	40	Volcaniclastic sandstone
Accord(1-26)	8540	2603	22	11	41	26	Volcaniclastic sandstone
Accord(1-26)	8740	2664	24	9	33	33	Volcaniclastic sandstone
Accord(1-26)	8940	2724.9	25	9	25	41	Lacustrine/evaporite deposits
Accord(1-26)	9140	2785.9	10	9	19	63	Lacustrine/evaporite deposits
Accord(1-26)	9340	2846.8	9	5	17	69	Lacustrine/evaporite deposits
Accord(1-26)	9540	2907.8	20	7	26	46	Rhyolite ash-flow tuff and tuffaceous sediments.
Accord(1-26)	9740	2968.8	23	8	23	47	Rhyolite ash-flow tuff and tuffaceous sediments.
Accord(1-26)	9940	3029.7	18	18	24	39	Rhyolite ash-flow tuff and tuffaceous sediments.
Accord(1-26)	10140	3090.7	33	11	28	28	Rhyolite ash-flow tuff and tuffaceous sediments.
Accord(1-26)	10190	3105.9	11	22	32	35	Fault Zone
Accord(1-26)	10290	3136.4	6	9	34	51	Fracture Zone
Accord(1-26)	10490	3197.4	26	18	25	31	Granite
Accord(1-26)	10690	3258.3	40	21	16	23	Granodiorite
Accord(1-26)	10890	3319.3	19	12	32	37	Granite
Accord(1-26)	11090	3380.2	36	17	20	27	Granodiorite
Accord(1-26)	11290	3441.2	43	18	19	20	Granodiorite
Accord(1-26)	11490	3502.2	16	10	35	39	Granite
Accord(1-26)	11690	3563.1	34	18	18	31	Granite
Accord(1-26)	11890	3624.1	36	20	20	24	Granite
Accord(1-26)	12090	3685	30	19	30	21	Granite
Accord(1-26)	12140	3700.3	17	15	33	35	Granite
Accord(1-26)	12240	3730.8	31	20	28	21	Granite
Accord(1-26)	12440	3791.7	25	23	26	26	Fault Zone/granite
Accord(1-26)	12640	3852.7	43	19	15	23	Granodiorite
56-32	3050	929.6	23	27	33	18	
56-32	3100	944.9	19	30	6	45	
56-32	3150	960.1	27	33	7	32	
56-32	3200	975.4	31	33	7	30	
56-32	3300	1005.8	34	30	29	7	
56-32	3400	1036.3	52	23	8	17	
56-32	3500	1066.8	48	40	4	9	
56-32	3600	1097.3	52	18	7	24	
56-32	3620	1103.4	3	29	58	10	
56-32	3700	1127.8	69	13	3	15	
56-32	3800	1158.2	66	10	2	21	
56-32	3900	1188.7	52	31	8	10	
56-32	4000	1219.2	61	23	1	15	
56-32	4100	1249.7	60	7	3	30	
56-32	4150	1264.9	53	37	3	7	
56-32	4200	1280.2	62	8	5	25	
56-32	4300	1310.6	51	39	2	8	
56-32	4400	1341.1	48	44	2	6	
56-32	4500	1371.6	52	40	3	6	
56-32	4600	1402.1	49	42	2	7	
56-32	4700	1432.6	35	25	36	4	
56-32	4800	1463	53	36	3	8	
56-32	4900	1493.5	49	41	4	7	
56-32	5000	1524	51	40	4	5	
56-32	5100	1554.5	65	8	4	24	
56-32	5200	1585	38	27	32	3	
56-32	5300	1615.4	53	31	11	6	
56-32	5400	1645.9	48	38	11	4	
56-32	5500	1676.4	44	31	18	8	
56-32	5590	1703.8	43	32	20	5	
56-32	5700	1737.4	42	34	19	6	
56-32	5800	1767.8	45	33	18	4	
56-32	5900	1798.3	45	31	20	5	
56-32	6000	1828.8	45	27	22	6	
56-32	6100	1859.3	49	31	16	4	
56-32	6200	1889.8	48	30	17	5	
56-32	6300	1920.2	45	31	19	6	
56-32	6400	1950.7	45	31	20	4	
56-32	6500	1981.2	45	27	23	5	
56-32	6600	2011.7	46	31	17	6	
56-32	6700	2042.2	46	33	16	5	
56-32	6800	2072.6	47	34	14	5	
56-32	6900	2103.1	50	35	5	9	
56-32	7000	2133.6	61	30	3	6	
56-32	7100	2164.1	55	24	3	17	
56-32	7200	2194.6	47	5	4	45	
56-32	7300	2225	51	17	8	24	
56-32	7400	2255.5	66	5	4	26	
56-32	7500	2286	56	11	6	28	
56-32	7600	2316.5	34	7	27	32	
56-32	7700	2347	54	9	25	12	
56-32	7800	2377.4	49	6	12	32	
56-32	7900	2407.9	57	3	27	13	
56-32	8000	2438.4	56	1	20	23	
56-32	8110	2471.9	19	3	8	70	
56-32	8190	2496.3	6	7	80	8	
56-32	8200	2499.4	15	6	13	67	
56-32	8300	2529.8	0	0	1	99	
56-32	8350	2545.1	31	12	4	53	
56-32	8400	2560.3	21	22	19	39	
56-32	8500	2590.8	57	6	21	16	
56-32	8600	2621.3	63	4	9	24	
56-32	8700	2651.8	33	28	28	11	
56-32	8830	2691.4	40	4	28	28	
56-32	8850	2697.5	33	5	32	31	
56-32	8900	2712.7	31	17	33	19	
56-32	9000	2743.2	48	5	12	35	
56-32	9100	2773.7	47	6	22	25	
56-32	9120	2779.8	42	5	32	20	
78B-32	6702	2042.8	48	42	3	7	
78B-32	6711	2045.5	44	42	3	11	
78B-32	6728	2050.7	41	30	6	23	
78B-32	6734	2052.5	47	41	3	9	
78B-32	8501	2591.1	49	24	5	22	
78B-32	8503	2591.7	55	16	7	22	
78B-32	8506	2592.6	55	22	7	16	
78B-32	8507	2592.9	52	23	18	7	
78B-32	8512	2594.5	56	14	9	22	
78B-32	8517	2596	58	12	6	24	
78B-32	8531	2600.2	56	16	10	18	
78B-32	8535	2601.5	51	16	17	17	
16A(78)-32	3600	1097.3	7	35	39	19	
16A(78)-32	3700	1127.8	11	38	38	14	
16A(78)-32	3800	1158.2	8	39	37	15	
16A(78)-32	3900	1188.7	5	38	37	21	
16A(78)-32	4000	1219.2	8	34	36	22	
16A(78)-32	4100	1249.7	7	35	36	22	
16A(78)-32	4200	1280.2	14	33	19	34	
16A(78)-32	4300	1310.6	27	33	24	17	
16A(78)-32	4400	1341.1	31	35	18	16	
16A(78)-32	4510	1374.6	46	19	16	19	
